PPEE	PPDE
NM_001001186	0	1
NM_001001796	0	1
NM_001001986	0	1
NM_001002895	0	1
NM_001002929	0	1
NM_001004143	0	1
NM_001004155	0	1
NM_001004192	0	1
NM_001005230	0	1
NM_001005421	0	1
NM_001005508	0	1
NM_001006674	0	1
NM_001007573	0	1
NM_001007578	0	1
NM_001008230	0	1
NM_001008231	0	1
NM_001008424	0	1
NM_001008793	0	1
NM_001009544	0	1
NM_001009940	0	1
NM_001010835	0	1
NM_001010941	0	1
NM_001011738	0	1
NM_001011789	0	1
NM_001011819	0	1
NM_001011851	0	1
NM_001012330	0	1
NM_001013766	0	1
NM_001013811	0	1
NM_001013832	0	1
NM_001018019	0	1
NM_001018063	0	1
NM_001018079	0	1
NM_001024141	0	1
NM_001024842	0	1
NM_001024919	0	1
NM_001024920	0	1
NM_001024928	0	1
NM_001025084	0	1
NM_001025241_2	0.0408916427895075	0.959108357210492
NM_001025244	0	1
NM_001025353	0	1
NM_001025379	0	1
NM_001025445	0	1
NM_001025568	0	1
NM_001026214	0	1
NM_001031772	0	1
NM_001031814	0	1
NM_001032414	0	1
NM_001033145	0	1
NM_001033156	0	1
NM_001033197	0	1
NM_001033226	0	1
NM_001033253	0	1
NM_001033256	0	1
NM_001033264	0	1
NM_001033272	0	1
NM_001033292	0	1
NM_001033298	0	1
NM_001033302	8.1841422527873e-11	0.999999999918159
NM_001033310	1.09427295873488e-05	0.999989057270413
NM_001033343	0	1
NM_001033365	0	1
NM_001033378	0	1
NM_001033380	0	1
NM_001033391	0	1
NM_001033433	0	1
NM_001033434	0	1
NM_001033458	0	1
NM_001033468	0	1
NM_001033472	0	1
NM_001033636	0	1
NM_001033770	0	1
NM_001033929	0	1
NM_001033988	0	1
NM_001034102	6.17033085955621e-05	0.999938296691404
NM_001034885	0	1
NM_001034962	0	1
NM_001035526	0	1
NM_001037737	0	1
NM_001037749	0	1
NM_001037764	0	1
NM_001037847	0.00085295733394064	0.999147042666059
NM_001037906	0	1
NM_001037918	0	1
NM_001037927	0	1
NM_001037987	0	1
NM_001038230	0	1
NM_001038608	0	1
NM_001038612	0	1
NM_001038621	0	1
NM_001038887	0	1
NM_001039086	0	1
NM_001039185	0	1
NM_001039188	0	1
NM_001039220	0	1
NM_001039352	0	1
NM_001039466	0	1
NM_001039532	0	1
NM_001039586	0	1
NM_001039652	2.63143035827973e-06	0.999997368569642
NM_001039669	0	1
NM_001039676	0	1
NM_001039942	0	1
NM_001039944	0	1
NM_001040085	0	1
NM_001040088	0	1
NM_001040695	0	1
NM_001040699	0	1
NM_001042501	0	1
NM_001042514	0	1
NM_001042752	0	1
NM_001043336	0	1
NM_001044741	0	1
NM_001044751	0	1
NM_001045807	0	1
NM_001047433	0	1
NM_001048060	0	1
NM_001076791	0	1
NM_001077266	0	1
NM_001077267	0.000272932856415276	0.999727067143585
NM_001079873	0	1
NM_001080128	0	1
NM_001080549	0	1
NM_001080774	0	1
NM_001080794	0	1
NM_001080929	0	1
NM_001081055	0	1
NM_001081072	0	1
NM_001081074	0	1
NM_001081097	0	1
NM_001081116	0	1
NM_001081117	0	1
NM_001081118	0	1
NM_001081126	0	1
NM_001081146	0	1
NM_001081155	0	1
NM_001081163	0	1
NM_001081199	0	1
NM_001081277	0	1
NM_001081341	0	1
NM_001081352	0	1
NM_001081375	0	1
NM_001081419	0	1
NM_001081437	0	1
NM_001081446	0	1
NM_001081463	1.33572103644397e-06	0.999998664278964
NM_001081469	0.00745861990822227	0.992541380091778
NM_001081557	0	1
NM_001081567	0	1
NM_001081756	0	1
NM_001082543	0	1
NM_001082547	0	1
NM_001082573	0	1
NM_001083119	0	1
NM_001083126	0	1
NM_001083319	0	1
NM_001083320	0	1
NM_001083936	0	1
NM_001085355	0	1
NM_001085500	0	1
NM_001085545_1	0.024139888177398	0.975860111822602
NM_001085545_3	0	1
NM_001085551_1	0.024139888177398	0.975860111822602
NM_001085551_5	0	1
