"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"NR_038165"	0	1	0.246990218372018	0.246138765460059	185.012163375056	751.688591764811
"NR_038126"	0	1	3.39492150044516	3.40317018608402	496.15178313414	145.783996774833
"NR_045760"	0	1	3.99111481669027	4.00022168238556	659.742923784363	164.919090477534
"NM_025363"	0	1	0.339824222246134	0.338797582611443	109.389408434302	322.894926272065
"NR_027929"	0	1	0.301870491207511	0.301100547463963	138.830470188964	461.099989199144
"NM_001276278"	0	1	4.27648122361968	4.29031946548313	516.577541387062	120.397709855445
"NM_001033145"	0	1	0.267845194872638	0.267729684209305	852.129067422419	3182.82372252528
"NM_001135569"	0	1	0.266076220067187	0.264673584318478	117.701910602905	444.733705368287
"NM_027207"	0	1	5.3353064069607	5.35775439883695	519.576925490884	96.9684888989452
"NR_037959"	0	1	0.273769963901442	0.273027869095523	134.159841353874	491.404454496338
"NR_027980"	0	1	0.258681960917127	0.258602607645325	1213.11552873207	4691.07003116459
"NR_040538"	0	1	4.24914150507451	4.25438738240169	1323.17521347897	311.006626965457
"NM_027040"	0	1	0.259094046582737	0.258474614084657	155.235887764569	600.613346762098
"NM_029590"	0	1	0.25750524999468	0.256546519138538	101.029302193385	393.833980158713
"NR_045616"	0	1	0.196290747206324	0.195539596944154	105.050623143152	537.275668913171
"NM_029314"	0	1	0.226855679238845	0.226090835940662	114.753603337819	507.589535648314
"NR_028360"	0	1	0.274550012217966	0.274180553864548	270.330895733562	985.985877253634
"NR_045488"	0	1	0.241447768960495	0.240411102650281	88.3252692400402	367.424233553427
"NR_045699"	0	1	4.03683779663901	4.04048920343303	1687.43038618012	417.622692780461
"NM_026091"	0	1	0.267414383259355	0.267031111575174	256.288832483916	959.798881339894
"NR_045315"	0	1	0.266440483787822	0.265840701523915	163.25621411893	614.140554008533
"NM_001100116"	0	1	0.519878552466982	0.519521800907042	594.272246987741	1143.89242324802
"NM_001100116_1"	0	1	0.519878552466982	0.519521800907042	594.272246987741	1143.89242324802
"NM_028538"	0	1	0.265981641243913	0.265889701048199	1065.93826201357	4008.9766505222
"NR_045288"	0	1	3.31979501547265	3.32680236413754	553.029303350219	166.227498599828
"NR_040465"	0	1	4.65652757300551	4.67495947259836	465.693732512544	99.6066352333541
"NR_045924"	0	1	0.248981250618776	0.248405242805386	162.625846432616	654.709862575662
"NR_045733"	0	1	0.274689239397565	0.274002035232341	145.209600559766	529.984605465712
"NM_028562"	0	1	0.260755817413567	0.260244710915593	189.002939707484	726.279264602146
"NR_033608"	0	1	0.303205657049348	0.302572721353899	167.256091936415	552.802861608813
"NM_138581"	0	1	0.25792736836782	0.257570973640729	269.295470836803	1045.54830585337
"NR_073362"	0	1	0.279435292576127	0.279078635624949	286.722165683351	1027.41427789667
"NM_001177347"	0	1	0.311475401602831	0.310292313727626	90.6689716802194	292.227247487275
"NM_001110133"	0	1	4.25330075092057	4.26011593781404	1034.16823016216	242.748235986606
"NR_126429"	0	1	0.213087719769533	0.212446025915983	130.811813887715	615.778472971724
"NR_038059_1"	0	1	0.377863234997457	0.377235350017287	317.693434112483	842.178925555161
"NR_038059_2"	0	1	0.377863234997457	0.377235350017287	317.693434112483	842.178925555161
"NR_045997"	0	1	4.04571754885387	4.05375347034558	771.505020347907	190.311149520258
"NR_045627"	0	1	0.236929444961324	0.235685631144786	72.5965057621161	308.055050081533
"NM_001163473"	0	1	0.227195123427395	0.226774951437918	209.43546011954	923.572868352538
"NR_040486"	0	1	3.78493746060842	3.79393618283046	997.985025216946	263.040029606031
"NM_025929"	0	1	0.2550286715868	0.254766127196302	362.994168098105	1424.84255827751
"NM_028096"	0	1	4.16126878195077	4.16313491817819	3541.36303403894	850.640556285278
"NM_027335"	0	1	0.249056681783099	0.248888898175667	559.35625933241	2247.44363667288
"NM_001256493"	0	1	0.258786212638915	0.25858003345009	472.728724753448	1828.20047103273
"NM_001145676"	0	1	0.244082584612129	0.243983966563744	939.091094101882	3849.01789854648
"NR_040268"	0	1	0.27174112580283	0.270419266651681	126.621569061973	468.268649779359
"NM_001159940"	0	1	0.246882855614586	0.246531137534162	448.676883156845	1819.99086335816
"NR_046007"	0	1	0.219217844704982	0.217247189415586	73.150579400235	336.751914375248
"NR_045495"	0	1	0.257116323411755	0.256445084379443	142.508454301299	555.736485241359
"NM_025865"	0	1	0.273241841844971	0.272877994429953	273.688393299227	1002.99646767427
"NR_126556"	0	1	0.318356009528525	0.315752636176035	70.260313994255	222.538621747939
"NR_038156"	0	1	0.282487503110926	0.282276698432519	482.445615221426	1709.14848846362
"NM_025572"	0	1	0.250337315234624	0.249862371889748	198.032343757548	792.595714336748
"NR_045042"	0	1	3.84858651866756	3.85719991543895	1084.24357793266	281.088621202596
"NR_037693"	0	1	0.233708194662243	0.233487361126123	406.831871148743	1742.44778952026
"NR_015489"	0	1	0.294432421681829	0.294097876364159	311.454576503662	1059.04074988709
"NR_033431"	0	1	0.252826805390617	0.252071263800468	211.870017341122	840.546016368608
"NR_027891"	0	1	0.232310998558295	0.232140523661362	524.929137663814	2261.2890157185
"NR_131929"	0	1	3.15313264671223	3.16038334530264	477.253506852674	151.004435499428
"NM_001166497"	0	1	0.222794524903103	0.22268323060099	780.868644276772	3506.66916110832
"NM_028469"	0	1	4.02205297607788	4.02749785013265	1122.48047272256	278.696659690853
"NR_045081"	0	1	3.55208711675666	3.56466470223289	614.771312004109	172.455396708704
"NR_131095"	0	1	3.95429459867461	3.9603646174022	967.89348358391	244.38756868114
"NM_001009544"	0	1	3.83108457932594	3.83286123616385	3066.93155980155	800.160256847369
"NR_045802"	0	1	0.237543741435402	0.237102535101174	205.741260249653	867.763346083615
"NR_045940"	0	1	0.245449720141052	0.244968052309254	192.690615798255	786.625702009766
"NR_040545"	0	1	4.17095277215598	4.17661917247566	1173.64515290379	280.99602531308
"NR_045961"	0	1	0.279773915913168	0.279127779750725	156.225949376363	559.719130206567
"NM_026136"	0	1	3.51518904294614	3.52345177913757	911.62046830295	258.722210754446
"NM_001271586"	0	1	0.253575031032821	0.253162040859172	388.899706299643	1536.19860765609
"NR_045981"	0	1	0.230603848961096	0.230447766712507	570.419676727021	2475.30006641802
"NR_045980"	0	1	0.256425041146373	0.255998006182984	223.826556510592	874.358358754315
"NR_045712"	0	1	0.28417663020677	0.28386886752987	331.533714588233	1167.93672650514
